2/4/2024
3:14 PM
relaxation time temp 405K retry_2024.02.04_IR_FILE END.txt

Data taken by: Akshat Sharma
Ammeter is Keithley 6517A at GPIB0::27::INSTR
Voltage Source is Keithley 6517A at GPIB0::27::INSTR
Temperature Controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Signal Instr: Keithley 6517A
Signal VISA: GPIB0::27::INSTR
Voltage Instr: Keithley 6517A
Voltage VISA: GPIB0::27::INSTR
Temp Sensor Instr: Lake Shore 330
Temp Sensor VISA: GPIB0::12::INSTR
Voltage (V): 100
Shut off V when done?: FALSE
Readings: 1
Loop: 1
DESCRIPTION
********************
Time (s)	Current (A)	Current Std Dev	Control Temperature (K)	Sample Temperature (K)	
1.003000E+0	6.447300E-5	NaN	4.051200E+2	4.051200E+2
2.014600E+1	6.466200E-5	NaN	4.051100E+2	4.051100E+2
3.608500E+1	6.476200E-5	NaN	4.051000E+2	4.051000E+2
5.754600E+1	6.486100E-5	NaN	4.051100E+2	4.051100E+2
7.929900E+1	6.498100E-5	NaN	4.050900E+2	4.050900E+2
1.799320E+2	6.537900E-5	NaN	4.050500E+2	4.050500E+2
2.065710E+2	6.555600E-5	NaN	4.050500E+2	4.050500E+2
2.275510E+2	6.565100E-5	NaN	4.050400E+2	4.050400E+2
2.434040E+2	6.572200E-5	NaN	4.050400E+2	4.050400E+2
2.599750E+2	6.579600E-5	NaN	4.050400E+2	4.050400E+2
2.815300E+2	6.586200E-5	NaN	4.050400E+2	4.050400E+2
2.979140E+2	6.593000E-5	NaN	4.050300E+2	4.050300E+2
3.082050E+2	6.593600E-5	NaN	4.050300E+2	4.050300E+2
3.295460E+2	6.597500E-5	NaN	4.050300E+2	4.050300E+2
3.507840E+2	6.608600E-5	NaN	4.050200E+2	4.050200E+2
3.720550E+2	6.614400E-5	NaN	4.050300E+2	4.050300E+2
3.879020E+2	6.622600E-5	NaN	4.050200E+2	4.050200E+2
4.139410E+2	6.621900E-5	NaN	4.050200E+2	4.050200E+2
4.353110E+2	6.641300E-5	NaN	4.050200E+2	4.050200E+2
4.617010E+2	6.650300E-5	NaN	4.050100E+2	4.050100E+2
4.826440E+2	6.657400E-5	NaN	4.050200E+2	4.050200E+2
5.096800E+2	6.662800E-5	NaN	4.050100E+2	4.050100E+2
6.361630E+2	6.716000E-5	NaN	4.050100E+2	4.050100E+2
6.600380E+2	6.721300E-5	NaN	4.050000E+2	4.050000E+2
6.846490E+2	6.738400E-5	NaN	4.050100E+2	4.050100E+2
7.216220E+2	6.748300E-5	NaN	4.050100E+2	4.050100E+2
7.461670E+2	6.759800E-5	NaN	4.050000E+2	4.050000E+2
7.809150E+2	6.778100E-5	NaN	4.050100E+2	4.050100E+2
8.139430E+2	6.789500E-5	NaN	4.050000E+2	4.050000E+2
8.373430E+2	6.800800E-5	NaN	4.050100E+2	4.050100E+2
8.856560E+2	6.808300E-5	NaN	4.050000E+2	4.050000E+2
9.083960E+2	6.821300E-5	NaN	4.050100E+2	4.050100E+2
9.294660E+2	6.828300E-5	NaN	4.050000E+2	4.050000E+2
9.558360E+2	6.834600E-5	NaN	4.050000E+2	4.050000E+2
1.078924E+3	6.868600E-5	NaN	4.050100E+2	4.050100E+2
1.103770E+3	6.878900E-5	NaN	4.049900E+2	4.049900E+2
1.122245E+3	6.883800E-5	NaN	4.050100E+2	4.050100E+2
1.152896E+3	6.891600E-5	NaN	4.050100E+2	4.050100E+2
1.182537E+3	6.894200E-5	NaN	4.050000E+2	4.050000E+2
1.206360E+3	6.913700E-5	NaN	4.050000E+2	4.050000E+2
1.226109E+3	6.917800E-5	NaN	4.050000E+2	4.050000E+2
1.253709E+3	6.924300E-5	NaN	4.049900E+2	4.049900E+2
1.276641E+3	6.929000E-5	NaN	4.050000E+2	4.050000E+2
1.300418E+3	6.932800E-5	NaN	4.049900E+2	4.049900E+2
1.324712E+3	6.939200E-5	NaN	4.049900E+2	4.049900E+2
1.351603E+3	6.946500E-5	NaN	4.050000E+2	4.050000E+2
1.384274E+3	6.956000E-5	NaN	4.049900E+2	4.049900E+2
1.409499E+3	6.966100E-5	NaN	4.050000E+2	4.050000E+2
1.427601E+3	6.969300E-5	NaN	4.050000E+2	4.050000E+2
1.457425E+3	6.971800E-5	NaN	4.050100E+2	4.050100E+2
1.543979E+3	6.996300E-5	NaN	4.050000E+2	4.050000E+2
1.566527E+3	6.997600E-5	NaN	4.050000E+2	4.050000E+2
1.588093E+3	7.006500E-5	NaN	4.050000E+2	4.050000E+2
1.610899E+3	7.005600E-5	NaN	4.050000E+2	4.050000E+2
1.622873E+3	7.009700E-5	NaN	4.049900E+2	4.049900E+2
1.649751E+3	7.016500E-5	NaN	4.050000E+2	4.050000E+2
1.668222E+3	7.024000E-5	NaN	4.050100E+2	4.050100E+2
1.686008E+3	7.014800E-5	NaN	4.050000E+2	4.050000E+2
1.715324E+3	7.035900E-5	NaN	4.049800E+2	4.049800E+2
1.738418E+3	7.035500E-5	NaN	4.050100E+2	4.050100E+2
1.764063E+3	7.035600E-5	NaN	4.050000E+2	4.050000E+2
1.792940E+3	7.044800E-5	NaN	4.050000E+2	4.050000E+2
1.811556E+3	7.039600E-5	NaN	4.049900E+2	4.049900E+2
1.828736E+3	7.043700E-5	NaN	4.049900E+2	4.049900E+2
1.943280E+3	7.070100E-5	NaN	4.049900E+2	4.049900E+2
1.976564E+3	7.079500E-5	NaN	4.050100E+2	4.050100E+2
2.001410E+3	7.088100E-5	NaN	4.050000E+2	4.050000E+2
2.023992E+3	7.090000E-5	NaN	4.050000E+2	4.050000E+2
2.046513E+3	7.096200E-5	NaN	4.050000E+2	4.050000E+2
2.068196E+3	7.048100E-5	NaN	4.050000E+2	4.050000E+2
2.092653E+3	7.053900E-5	NaN	4.049900E+2	4.049900E+2
2.121775E+3	7.068600E-5	NaN	4.050000E+2	4.050000E+2
2.140176E+3	7.114600E-5	NaN	4.049900E+2	4.049900E+2
2.167956E+3	7.125900E-5	NaN	4.049900E+2	4.049900E+2
2.201723E+3	7.127000E-5	NaN	4.050000E+2	4.050000E+2
2.225277E+3	7.134000E-5	NaN	4.049900E+2	4.049900E+2
2.340959E+3	7.105900E-5	NaN	4.050000E+2	4.050000E+2
2.361706E+3	7.107700E-5	NaN	4.050000E+2	4.050000E+2
2.382391E+3	7.113000E-5	NaN	4.049900E+2	4.049900E+2
2.403460E+3	7.117100E-5	NaN	4.050000E+2	4.050000E+2
2.414172E+3	7.119900E-5	NaN	4.050000E+2	4.050000E+2
2.430755E+3	7.123600E-5	NaN	4.050000E+2	4.050000E+2
2.451510E+3	7.129100E-5	NaN	4.050000E+2	4.050000E+2
2.473353E+3	7.127900E-5	NaN	4.050000E+2	4.050000E+2
2.494039E+3	7.131500E-5	NaN	4.050000E+2	4.050000E+2
2.514511E+3	7.130200E-5	NaN	4.050000E+2	4.050000E+2
2.534993E+3	7.139800E-5	NaN	4.049900E+2	4.049900E+2
2.555999E+3	7.140800E-5	NaN	4.049900E+2	4.049900E+2
2.571734E+3	7.147000E-5	NaN	4.050000E+2	4.050000E+2
2.593062E+3	7.156700E-5	NaN	4.050000E+2	4.050000E+2
2.618395E+3	7.161600E-5	NaN	4.049900E+2	4.049900E+2
2.638895E+3	7.167300E-5	NaN	4.050000E+2	4.050000E+2
2.659513E+3	7.172300E-5	NaN	4.050000E+2	4.050000E+2
2.758715E+3	7.186700E-5	NaN	4.049900E+2	4.049900E+2
2.774329E+3	7.194200E-5	NaN	4.050000E+2	4.050000E+2
2.799688E+3	7.197600E-5	NaN	4.050000E+2	4.050000E+2
2.820422E+3	7.203400E-5	NaN	4.050000E+2	4.050000E+2
2.841683E+3	7.204200E-5	NaN	4.050000E+2	4.050000E+2
2.867809E+3	7.214800E-5	NaN	4.050000E+2	4.050000E+2
2.883811E+3	7.220900E-5	NaN	4.050000E+2	4.050000E+2
2.910042E+3	7.230800E-5	NaN	4.050100E+2	4.050100E+2
2.926031E+3	7.229600E-5	NaN	4.050000E+2	4.050000E+2
2.952649E+3	7.229200E-5	NaN	4.050000E+2	4.050000E+2
2.979471E+3	7.231400E-5	NaN	4.050000E+2	4.050000E+2
3.000232E+3	7.235400E-5	NaN	4.049900E+2	4.049900E+2
3.021811E+3	7.238100E-5	NaN	4.049900E+2	4.049900E+2
3.042312E+3	7.235900E-5	NaN	4.049900E+2	4.049900E+2
3.132220E+3	7.250200E-5	NaN	4.050100E+2	4.050100E+2
3.151100E+3	7.246500E-5	NaN	4.050000E+2	4.050000E+2
3.167811E+3	7.250300E-5	NaN	4.049900E+2	4.049900E+2
3.192200E+3	7.250600E-5	NaN	4.049900E+2	4.049900E+2
3.222721E+3	7.254200E-5	NaN	4.050000E+2	4.050000E+2
3.244523E+3	7.264000E-5	NaN	4.050000E+2	4.050000E+2
3.261362E+3	7.264400E-5	NaN	4.050000E+2	4.050000E+2
3.288792E+3	7.267500E-5	NaN	4.050000E+2	4.050000E+2
3.309564E+3	7.266400E-5	NaN	4.050000E+2	4.050000E+2
3.331019E+3	7.255300E-5	NaN	4.049900E+2	4.049900E+2
3.346769E+3	7.258700E-5	NaN	4.050000E+2	4.050000E+2
3.373654E+3	7.267900E-5	NaN	4.050000E+2	4.050000E+2
3.400148E+3	7.292500E-5	NaN	4.049900E+2	4.049900E+2
3.546543E+3	7.300000E-5	NaN	4.050000E+2	4.050000E+2
3.572901E+3	7.300200E-5	NaN	4.050000E+2	4.050000E+2
3.594119E+3	7.303500E-5	NaN	4.050000E+2	4.050000E+2
3.615449E+3	7.305700E-5	NaN	4.050100E+2	4.050100E+2
3.636748E+3	7.311500E-5	NaN	4.050000E+2	4.050000E+2
3.667458E+3	7.313700E-5	NaN	4.050000E+2	4.050000E+2
3.694512E+3	7.314600E-5	NaN	4.050100E+2	4.050100E+2
3.714918E+3	7.320300E-5	NaN	4.050100E+2	4.050100E+2
3.735743E+3	7.321800E-5	NaN	4.049900E+2	4.049900E+2
3.757152E+3	7.323200E-5	NaN	4.049900E+2	4.049900E+2
3.774014E+3	7.330500E-5	NaN	4.050000E+2	4.050000E+2
3.794463E+3	7.333800E-5	NaN	4.050100E+2	4.050100E+2
3.816054E+3	7.334900E-5	NaN	4.049900E+2	4.049900E+2
3.837151E+3	7.335900E-5	NaN	4.050000E+2	4.050000E+2
3.853418E+3	7.339100E-5	NaN	4.050000E+2	4.050000E+2
3.884834E+3	7.331500E-5	NaN	4.050000E+2	4.050000E+2
3.910688E+3	7.339100E-5	NaN	4.050000E+2	4.050000E+2
3.989898E+3	7.351600E-5	NaN	4.049900E+2	4.049900E+2
4.011315E+3	7.354600E-5	NaN	4.050000E+2	4.050000E+2
4.027265E+3	7.359400E-5	NaN	4.049900E+2	4.049900E+2
4.052758E+3	7.368800E-5	NaN	4.050000E+2	4.050000E+2
4.078819E+3	7.365800E-5	NaN	4.050000E+2	4.050000E+2
4.094897E+3	7.370900E-5	NaN	4.050000E+2	4.050000E+2
4.120694E+3	7.369100E-5	NaN	4.050000E+2	4.050000E+2
4.146225E+3	7.371200E-5	NaN	4.049900E+2	4.049900E+2
4.162523E+3	7.372500E-5	NaN	4.049900E+2	4.049900E+2
4.178509E+3	7.374200E-5	NaN	4.049900E+2	4.049900E+2
4.195523E+3	7.382200E-5	NaN	4.050100E+2	4.050100E+2
4.211403E+3	7.388100E-5	NaN	4.050100E+2	4.050100E+2
4.233242E+3	7.386600E-5	NaN	4.050000E+2	4.050000E+2
4.249492E+3	7.386000E-5	NaN	4.049800E+2	4.049800E+2
4.337583E+3	7.402900E-5	NaN	4.049900E+2	4.049900E+2
4.353238E+3	7.406300E-5	NaN	4.049800E+2	4.049800E+2
4.380179E+3	7.410400E-5	NaN	4.050000E+2	4.050000E+2
4.401638E+3	7.411700E-5	NaN	4.050000E+2	4.050000E+2
4.419234E+3	7.410400E-5	NaN	4.050000E+2	4.050000E+2
4.435263E+3	7.415500E-5	NaN	4.049900E+2	4.049900E+2
4.455809E+3	7.414300E-5	NaN	4.050000E+2	4.050000E+2
4.482610E+3	7.416500E-5	NaN	4.050000E+2	4.050000E+2
4.503915E+3	7.417600E-5	NaN	4.049900E+2	4.049900E+2
4.525985E+3	7.423100E-5	NaN	4.049900E+2	4.049900E+2
4.547835E+3	7.423500E-5	NaN	4.050000E+2	4.050000E+2
4.574270E+3	7.421600E-5	NaN	4.050000E+2	4.050000E+2
4.667814E+3	7.450100E-5	NaN	4.050000E+2	4.050000E+2
4.688857E+3	7.455300E-5	NaN	4.050000E+2	4.050000E+2
4.705368E+3	7.458600E-5	NaN	4.049800E+2	4.049800E+2
4.731855E+3	7.462800E-5	NaN	4.050100E+2	4.050100E+2
4.747715E+3	7.463300E-5	NaN	4.050000E+2	4.050000E+2
4.769175E+3	7.464400E-5	NaN	4.049900E+2	4.049900E+2
4.795111E+3	7.460400E-5	NaN	4.049900E+2	4.049900E+2
4.815642E+3	7.467500E-5	NaN	4.050000E+2	4.050000E+2
4.836986E+3	7.471100E-5	NaN	4.050000E+2	4.050000E+2
4.857724E+3	7.474700E-5	NaN	4.050000E+2	4.050000E+2
4.874802E+3	7.472200E-5	NaN	4.050000E+2	4.050000E+2
4.896085E+3	7.473500E-5	NaN	4.049900E+2	4.049900E+2
4.917144E+3	7.475400E-5	NaN	4.050000E+2	4.050000E+2
4.944344E+3	7.477600E-5	NaN	4.050000E+2	4.050000E+2
4.964656E+3	7.480500E-5	NaN	4.050000E+2	4.050000E+2
5.043107E+3	7.473800E-5	NaN	4.050000E+2	4.050000E+2
5.064582E+3	7.476600E-5	NaN	4.050000E+2	4.050000E+2
5.090413E+3	7.478100E-5	NaN	4.050000E+2	4.050000E+2
5.111995E+3	7.483400E-5	NaN	4.050000E+2	4.050000E+2
5.134437E+3	7.482300E-5	NaN	4.050000E+2	4.050000E+2
5.159845E+3	7.490900E-5	NaN	4.050000E+2	4.050000E+2
5.181921E+3	7.486900E-5	NaN	4.049900E+2	4.049900E+2
5.204664E+3	7.489400E-5	NaN	4.049900E+2	4.049900E+2
5.225701E+3	7.494800E-5	NaN	4.050000E+2	4.050000E+2
5.242325E+3	7.498800E-5	NaN	4.050000E+2	4.050000E+2
5.258705E+3	7.502200E-5	NaN	4.050000E+2	4.050000E+2
5.279447E+3	7.501200E-5	NaN	4.049700E+2	4.049700E+2
5.370518E+3	7.521800E-5	NaN	4.050100E+2	4.050100E+2
5.391109E+3	7.519400E-5	NaN	4.050100E+2	4.050100E+2
5.422451E+3	7.517800E-5	NaN	4.050000E+2	4.050000E+2
5.443091E+3	7.516800E-5	NaN	4.049900E+2	4.049900E+2
5.463867E+3	7.518600E-5	NaN	4.050000E+2	4.050000E+2
5.489884E+3	7.522300E-5	NaN	4.050000E+2	4.050000E+2
5.510256E+3	7.523400E-5	NaN	4.049800E+2	4.049800E+2
5.536187E+3	7.527700E-5	NaN	4.050000E+2	4.050000E+2
5.557120E+3	7.526900E-5	NaN	4.050000E+2	4.050000E+2
5.572745E+3	7.527100E-5	NaN	4.050000E+2	4.050000E+2
5.594836E+3	7.532000E-5	NaN	4.050000E+2	4.050000E+2
5.610890E+3	7.531200E-5	NaN	4.050000E+2	4.050000E+2
5.724430E+3	7.534200E-5	NaN	4.050000E+2	4.050000E+2
5.741098E+3	7.534400E-5	NaN	4.050000E+2	4.050000E+2
5.761902E+3	7.535600E-5	NaN	4.050000E+2	4.050000E+2
5.782451E+3	7.537500E-5	NaN	4.050100E+2	4.050100E+2
5.803909E+3	7.540000E-5	NaN	4.049900E+2	4.049900E+2
5.824563E+3	7.535300E-5	NaN	4.049900E+2	4.049900E+2
5.850269E+3	7.544200E-5	NaN	4.050000E+2	4.050000E+2
5.865996E+3	7.548400E-5	NaN	4.050000E+2	4.050000E+2
5.891894E+3	7.550100E-5	NaN	4.050100E+2	4.050100E+2
5.908508E+3	7.548600E-5	NaN	4.049900E+2	4.049900E+2
5.929314E+3	7.547800E-5	NaN	4.050000E+2	4.050000E+2
