4/26/2024
10:52 AM
part 3 relaxation time temp 407.5_2024.04.26_IR_FILE END.txt

Data taken by: Akshat Sharma
Ammeter is Keithley 6517A at GPIB0::27::INSTR
Voltage Source is Keithley 6517A at GPIB0::27::INSTR
Temperature Controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Signal Instr: Keithley 6517A
Signal VISA: GPIB0::27::INSTR
Voltage Instr: Keithley 6517A
Voltage VISA: GPIB0::27::INSTR
Temp Sensor Instr: Lake Shore 330
Temp Sensor VISA: GPIB0::12::INSTR
Voltage (V): 100
Shut off V when done?: TRUE
Readings: 1
Loop: 1
DESCRIPTION
********************
Time (s)	Current (A)	Current Std Dev	Control Temperature (K)	Sample Temperature (K)	
1.003000E+0	1.059980E-4	NaN	4.075100E+2	4.075100E+2
3.977800E+1	1.059630E-4	NaN	4.075000E+2	4.075000E+2
6.103600E+1	1.059650E-4	NaN	4.075000E+2	4.075000E+2
7.700000E+1	1.059840E-4	NaN	4.075000E+2	4.075000E+2
9.808900E+1	1.059650E-4	NaN	4.075000E+2	4.075000E+2
1.148560E+2	1.059530E-4	NaN	4.074900E+2	4.074900E+2
1.348030E+2	1.059560E-4	NaN	4.075000E+2	4.075000E+2
1.511170E+2	1.059550E-4	NaN	4.075000E+2	4.075000E+2
1.669350E+2	1.059640E-4	NaN	4.075000E+2	4.075000E+2
1.815140E+2	1.059550E-4	NaN	4.075100E+2	4.075100E+2
2.002460E+2	1.059350E-4	NaN	4.075100E+2	4.075100E+2
2.138290E+2	1.059240E-4	NaN	4.075000E+2	4.075000E+2
2.339600E+2	1.059360E-4	NaN	4.074900E+2	4.074900E+2
2.504300E+2	1.059510E-4	NaN	4.075000E+2	4.075000E+2
2.641850E+2	1.059540E-4	NaN	4.075000E+2	4.075000E+2
2.830050E+2	1.059600E-4	NaN	4.075000E+2	4.075000E+2
2.969460E+2	1.059740E-4	NaN	4.075000E+2	4.075000E+2
3.125750E+2	1.059740E-4	NaN	4.075000E+2	4.075000E+2
3.295310E+2	1.059690E-4	NaN	4.075000E+2	4.075000E+2
3.477380E+2	1.059560E-4	NaN	4.075000E+2	4.075000E+2
3.625520E+2	1.059540E-4	NaN	4.075000E+2	4.075000E+2
3.810620E+2	1.059550E-4	NaN	4.075100E+2	4.075100E+2
3.941380E+2	1.059460E-4	NaN	4.075000E+2	4.075000E+2
4.135590E+2	1.059500E-4	NaN	4.075100E+2	4.075100E+2
4.293250E+2	1.059320E-4	NaN	4.075000E+2	4.075000E+2
4.463800E+2	1.059440E-4	NaN	4.075000E+2	4.075000E+2
4.636620E+2	1.059630E-4	NaN	4.075100E+2	4.075100E+2
4.816830E+2	1.059650E-4	NaN	4.075000E+2	4.075000E+2
4.985840E+2	1.059560E-4	NaN	4.075000E+2	4.075000E+2
5.132380E+2	1.059410E-4	NaN	4.075000E+2	4.075000E+2
5.270060E+2	1.059410E-4	NaN	4.075000E+2	4.075000E+2
5.420700E+2	1.059480E-4	NaN	4.075100E+2	4.075100E+2
5.579420E+2	1.059210E-4	NaN	4.075000E+2	4.075000E+2
5.739900E+2	1.059270E-4	NaN	4.075000E+2	4.075000E+2
5.899990E+2	1.059470E-4	NaN	4.075000E+2	4.075000E+2
6.062100E+2	1.059670E-4	NaN	4.075100E+2	4.075100E+2
6.225460E+2	1.059680E-4	NaN	4.075100E+2	4.075100E+2
6.397450E+2	1.059390E-4	NaN	4.075000E+2	4.075000E+2
6.557410E+2	1.059170E-4	NaN	4.075000E+2	4.075000E+2
6.718320E+2	1.059260E-4	NaN	4.075000E+2	4.075000E+2
6.879030E+2	1.059360E-4	NaN	4.075000E+2	4.075000E+2
7.038900E+2	1.059320E-4	NaN	4.075000E+2	4.075000E+2
7.197110E+2	1.059310E-4	NaN	4.075100E+2	4.075100E+2
7.362130E+2	1.059140E-4	NaN	4.075000E+2	4.075000E+2
7.522990E+2	1.059160E-4	NaN	4.075000E+2	4.075000E+2
7.683290E+2	1.059110E-4	NaN	4.075100E+2	4.075100E+2
7.843570E+2	1.059000E-4	NaN	4.075000E+2	4.075000E+2
8.011430E+2	1.059070E-4	NaN	4.075000E+2	4.075000E+2
8.168980E+2	1.058920E-4	NaN	4.075000E+2	4.075000E+2
8.329340E+2	1.059020E-4	NaN	4.075000E+2	4.075000E+2
8.489760E+2	1.059050E-4	NaN	4.075000E+2	4.075000E+2
8.598020E+2	1.059120E-4	NaN	4.075100E+2	4.075100E+2
8.647370E+2	1.059170E-4	NaN	4.075100E+2	4.075100E+2
8.917490E+2	1.059030E-4	NaN	4.075000E+2	4.075000E+2
9.191300E+2	1.058870E-4	NaN	4.075000E+2	4.075000E+2
9.460020E+2	1.058990E-4	NaN	4.075000E+2	4.075000E+2
9.728550E+2	1.059010E-4	NaN	4.075000E+2	4.075000E+2
9.995510E+2	1.058840E-4	NaN	4.075000E+2	4.075000E+2
1.026225E+3	1.058940E-4	NaN	4.075100E+2	4.075100E+2
1.052983E+3	1.058770E-4	NaN	4.075000E+2	4.075000E+2
1.079758E+3	1.058620E-4	NaN	4.075000E+2	4.075000E+2
1.106528E+3	1.060610E-4	NaN	4.075000E+2	4.075000E+2
1.133453E+3	1.060550E-4	NaN	4.075000E+2	4.075000E+2
1.160225E+3	1.059980E-4	NaN	4.075100E+2	4.075100E+2
1.186932E+3	1.058430E-4	NaN	4.075000E+2	4.075000E+2
1.213788E+3	1.059310E-4	NaN	4.075100E+2	4.075100E+2
1.241047E+3	1.059320E-4	NaN	4.075100E+2	4.075100E+2
1.267924E+3	1.059320E-4	NaN	4.075100E+2	4.075100E+2
1.295066E+3	1.058990E-4	NaN	4.074900E+2	4.074900E+2
1.323382E+3	1.058800E-4	NaN	4.075000E+2	4.075000E+2
