4/21/2024
2:35 PM
part 2 relaxation time temp 407.5_2024.04.21_IR_FILE END.txt

Data taken by: Akshat Sharma
Ammeter is Keithley 6517A at GPIB0::27::INSTR
Voltage Source is Keithley 6517A at GPIB0::27::INSTR
Temperature Controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Signal Instr: Keithley 6517A
Signal VISA: GPIB0::27::INSTR
Voltage Instr: Keithley 6517A
Voltage VISA: GPIB0::27::INSTR
Temp Sensor Instr: Lake Shore 330
Temp Sensor VISA: GPIB0::12::INSTR
Voltage (V): 100
Shut off V when done?: TRUE
Readings: 1
Loop: 1
DESCRIPTION
********************
Time (s)	Current (A)	Current Std Dev	Control Temperature (K)	Sample Temperature (K)	
1.003000E+0	1.072710E-4	NaN	4.075000E+2	4.075000E+2
3.822500E+1	1.072880E-4	NaN	4.075000E+2	4.075000E+2
5.697300E+1	1.072940E-4	NaN	4.075000E+2	4.075000E+2
7.571000E+1	1.072930E-4	NaN	4.075000E+2	4.075000E+2
9.343800E+1	1.072880E-4	NaN	4.075000E+2	4.075000E+2
1.113230E+2	1.072910E-4	NaN	4.075100E+2	4.075100E+2
1.308130E+2	1.072910E-4	NaN	4.075100E+2	4.075100E+2
1.470330E+2	1.073000E-4	NaN	4.075000E+2	4.075000E+2
1.645230E+2	1.072920E-4	NaN	4.075000E+2	4.075000E+2
1.817690E+2	1.073040E-4	NaN	4.075000E+2	4.075000E+2
1.994440E+2	1.073010E-4	NaN	4.075000E+2	4.075000E+2
2.175920E+2	1.073100E-4	NaN	4.075000E+2	4.075000E+2
2.354890E+2	1.073230E-4	NaN	4.075000E+2	4.075000E+2
2.542550E+2	1.073160E-4	NaN	4.075000E+2	4.075000E+2
2.700480E+2	1.073070E-4	NaN	4.075100E+2	4.075100E+2
2.861160E+2	1.072830E-4	NaN	4.075100E+2	4.075100E+2
3.025270E+2	1.072660E-4	NaN	4.074900E+2	4.074900E+2
3.185070E+2	1.072570E-4	NaN	4.074900E+2	4.074900E+2
3.349620E+2	1.072960E-4	NaN	4.075000E+2	4.075000E+2
3.509700E+2	1.073130E-4	NaN	4.075100E+2	4.075100E+2
3.669340E+2	1.073070E-4	NaN	4.075100E+2	4.075100E+2
3.828190E+2	1.072940E-4	NaN	4.075000E+2	4.075000E+2
3.991220E+2	1.073000E-4	NaN	4.075000E+2	4.075000E+2
4.150170E+2	1.072940E-4	NaN	4.075100E+2	4.075100E+2
4.204140E+2	1.072960E-4	NaN	4.075100E+2	4.075100E+2
4.472790E+2	1.072840E-4	NaN	4.075000E+2	4.075000E+2
4.744220E+2	1.073020E-4	NaN	4.075000E+2	4.075000E+2
5.012880E+2	1.073150E-4	NaN	4.075000E+2	4.075000E+2
5.280490E+2	1.072930E-4	NaN	4.075000E+2	4.075000E+2
5.549890E+2	1.073070E-4	NaN	4.075000E+2	4.075000E+2
5.820340E+2	1.073320E-4	NaN	4.075100E+2	4.075100E+2
6.088770E+2	1.072950E-4	NaN	4.075000E+2	4.075000E+2
6.360390E+2	1.072980E-4	NaN	4.075000E+2	4.075000E+2
6.627970E+2	1.073010E-4	NaN	4.075000E+2	4.075000E+2
6.898020E+2	1.072910E-4	NaN	4.075000E+2	4.075000E+2
7.165680E+2	1.073180E-4	NaN	4.075100E+2	4.075100E+2
7.435720E+2	1.072870E-4	NaN	4.075000E+2	4.075000E+2
7.703200E+2	1.072960E-4	NaN	4.075100E+2	4.075100E+2
7.972270E+2	1.073020E-4	NaN	4.075000E+2	4.075000E+2
8.239600E+2	1.072990E-4	NaN	4.075000E+2	4.075000E+2
8.509460E+2	1.072910E-4	NaN	4.074900E+2	4.074900E+2
8.776880E+2	1.073090E-4	NaN	4.075000E+2	4.075000E+2
9.050310E+2	1.073090E-4	NaN	4.075000E+2	4.075000E+2
9.319900E+2	1.073010E-4	NaN	4.075000E+2	4.075000E+2
9.586950E+2	1.072870E-4	NaN	4.075000E+2	4.075000E+2
9.861760E+2	1.072990E-4	NaN	4.075000E+2	4.075000E+2
1.013644E+3	1.073170E-4	NaN	4.075000E+2	4.075000E+2
1.041102E+3	1.073120E-4	NaN	4.075000E+2	4.075000E+2
1.067856E+3	1.073180E-4	NaN	4.075000E+2	4.075000E+2
1.095617E+3	1.073010E-4	NaN	4.075000E+2	4.075000E+2
1.122353E+3	1.072780E-4	NaN	4.075000E+2	4.075000E+2
1.149032E+3	1.072850E-4	NaN	4.075000E+2	4.075000E+2
1.175804E+3	1.072970E-4	NaN	4.075000E+2	4.075000E+2
1.202759E+3	1.073270E-4	NaN	4.075000E+2	4.075000E+2
1.229563E+3	1.073190E-4	NaN	4.075000E+2	4.075000E+2
1.256369E+3	1.073090E-4	NaN	4.074900E+2	4.074900E+2
1.283276E+3	1.073280E-4	NaN	4.075000E+2	4.075000E+2
1.310563E+3	1.073460E-4	NaN	4.075000E+2	4.075000E+2
1.343273E+3	1.073480E-4	NaN	4.075100E+2	4.075100E+2
1.364602E+3	1.073370E-4	NaN	4.074900E+2	4.074900E+2
1.402630E+3	1.073660E-4	NaN	4.075000E+2	4.075000E+2
1.418608E+3	1.073810E-4	NaN	4.075000E+2	4.075000E+2
1.434618E+3	1.073690E-4	NaN	4.075100E+2	4.075100E+2
1.450863E+3	1.073570E-4	NaN	4.075000E+2	4.075000E+2
1.466932E+3	1.073460E-4	NaN	4.075000E+2	4.075000E+2
1.483596E+3	1.073470E-4	NaN	4.074900E+2	4.074900E+2
1.499885E+3	1.073520E-4	NaN	4.075000E+2	4.075000E+2
1.516346E+3	1.073580E-4	NaN	4.075000E+2	4.075000E+2
