4/14/2024
1:34 PM
relaxation time temp 407.5_2024.04.14_IR_FILE END.txt

Data taken by: Akshat Sharma
Ammeter is Keithley 6517A at GPIB0::27::INSTR
Voltage Source is Keithley 6517A at GPIB0::27::INSTR
Temperature Controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Signal Instr: Keithley 6517A
Signal VISA: GPIB0::27::INSTR
Voltage Instr: Keithley 6517A
Voltage VISA: GPIB0::27::INSTR
Temp Sensor Instr: Lake Shore 330
Temp Sensor VISA: GPIB0::12::INSTR
Voltage (V): 100
Shut off V when done?: TRUE
Readings: 1
Loop: 1
DESCRIPTION
********************
Time (s)	Current (A)	Current Std Dev	Control Temperature (K)	Sample Temperature (K)	
1.003000E+0	8.436700E-5	NaN	4.076800E+2	4.076800E+2
3.759000E+1	8.454000E-5	NaN	4.076500E+2	4.076500E+2
5.378800E+1	8.462200E-5	NaN	4.076500E+2	4.076500E+2
7.013000E+1	8.469200E-5	NaN	4.076300E+2	4.076300E+2
8.610800E+1	8.477800E-5	NaN	4.076200E+2	4.076200E+2
1.026500E+2	8.485700E-5	NaN	4.076200E+2	4.076200E+2
1.187500E+2	8.495300E-5	NaN	4.076100E+2	4.076100E+2
1.345430E+2	8.501000E-5	NaN	4.076000E+2	4.076000E+2
1.503600E+2	8.508000E-5	NaN	4.075800E+2	4.075800E+2
1.663270E+2	8.517400E-5	NaN	4.075800E+2	4.075800E+2
1.826770E+2	8.527200E-5	NaN	4.075900E+2	4.075900E+2
1.986700E+2	8.536500E-5	NaN	4.075800E+2	4.075800E+2
2.146750E+2	8.545200E-5	NaN	4.075700E+2	4.075700E+2
2.196760E+2	8.546700E-5	NaN	4.075600E+2	4.075600E+2
2.580430E+2	8.567500E-5	NaN	4.075600E+2	4.075600E+2
2.740130E+2	8.576000E-5	NaN	4.075500E+2	4.075500E+2
2.901750E+2	8.584500E-5	NaN	4.075500E+2	4.075500E+2
3.064250E+2	8.595000E-5	NaN	4.075400E+2	4.075400E+2
3.228040E+2	8.606100E-5	NaN	4.075400E+2	4.075400E+2
3.389100E+2	8.615800E-5	NaN	4.075500E+2	4.075500E+2
3.549670E+2	8.623000E-5	NaN	4.075500E+2	4.075500E+2
3.709360E+2	8.628100E-5	NaN	4.075300E+2	4.075300E+2
3.870330E+2	8.634600E-5	NaN	4.075400E+2	4.075400E+2
4.031890E+2	8.643000E-5	NaN	4.075300E+2	4.075300E+2
4.191380E+2	8.652700E-5	NaN	4.075200E+2	4.075200E+2
4.243250E+2	8.656200E-5	NaN	4.075200E+2	4.075200E+2
4.622290E+2	8.677100E-5	NaN	4.075200E+2	4.075200E+2
4.781180E+2	8.683500E-5	NaN	4.075300E+2	4.075300E+2
4.940630E+2	8.691600E-5	NaN	4.075200E+2	4.075200E+2
5.100390E+2	8.698100E-5	NaN	4.075300E+2	4.075300E+2
5.260460E+2	8.707800E-5	NaN	4.075200E+2	4.075200E+2
5.425610E+2	8.717100E-5	NaN	4.075200E+2	4.075200E+2
5.582880E+2	8.724100E-5	NaN	4.075300E+2	4.075300E+2
5.742390E+2	8.732300E-5	NaN	4.075100E+2	4.075100E+2
5.907000E+2	8.740400E-5	NaN	4.075200E+2	4.075200E+2
6.065160E+2	8.749700E-5	NaN	4.075200E+2	4.075200E+2
6.226550E+2	8.757300E-5	NaN	4.075100E+2	4.075100E+2
6.383660E+2	8.766600E-5	NaN	4.075200E+2	4.075200E+2
6.547890E+2	8.775900E-5	NaN	4.075200E+2	4.075200E+2
6.707500E+2	8.782800E-5	NaN	4.075200E+2	4.075200E+2
6.867290E+2	8.788700E-5	NaN	4.075200E+2	4.075200E+2
7.026420E+2	8.795100E-5	NaN	4.075200E+2	4.075200E+2
7.186520E+2	8.798600E-5	NaN	4.075100E+2	4.075100E+2
7.346210E+2	8.805100E-5	NaN	4.075100E+2	4.075100E+2
7.504870E+2	8.812400E-5	NaN	4.075000E+2	4.075000E+2
7.664500E+2	8.822500E-5	NaN	4.074900E+2	4.074900E+2
7.830410E+2	8.834300E-5	NaN	4.075100E+2	4.075100E+2
7.992990E+2	8.843200E-5	NaN	4.075100E+2	4.075100E+2
8.158540E+2	8.851300E-5	NaN	4.075200E+2	4.075200E+2
8.318590E+2	8.856900E-5	NaN	4.075200E+2	4.075200E+2
8.480520E+2	8.862000E-5	NaN	4.075100E+2	4.075100E+2
8.640780E+2	8.867000E-5	NaN	4.075100E+2	4.075100E+2
8.800420E+2	8.873300E-5	NaN	4.075000E+2	4.075000E+2
8.960270E+2	8.879800E-5	NaN	4.075000E+2	4.075000E+2
9.124970E+2	8.890100E-5	NaN	4.075100E+2	4.075100E+2
9.289470E+2	8.895900E-5	NaN	4.075100E+2	4.075100E+2
9.457590E+2	8.900900E-5	NaN	4.075100E+2	4.075100E+2
9.617890E+2	8.906300E-5	NaN	4.074900E+2	4.074900E+2
9.775950E+2	8.914400E-5	NaN	4.074900E+2	4.074900E+2
9.939850E+2	8.924100E-5	NaN	4.075200E+2	4.075200E+2
1.010027E+3	8.929800E-5	NaN	4.075200E+2	4.075200E+2
1.026103E+3	8.935500E-5	NaN	4.075100E+2	4.075100E+2
1.042005E+3	8.940000E-5	NaN	4.075000E+2	4.075000E+2
1.057935E+3	8.945100E-5	NaN	4.075000E+2	4.075000E+2
1.073887E+3	8.951100E-5	NaN	4.075000E+2	4.075000E+2
1.090248E+3	8.959400E-5	NaN	4.075000E+2	4.075000E+2
1.106601E+3	8.966700E-5	NaN	4.075100E+2	4.075100E+2
1.122617E+3	8.972500E-5	NaN	4.075000E+2	4.075000E+2
1.138674E+3	8.978800E-5	NaN	4.075000E+2	4.075000E+2
1.155249E+3	8.985300E-5	NaN	4.074900E+2	4.074900E+2
1.171148E+3	8.991300E-5	NaN	4.074900E+2	4.074900E+2
1.187159E+3	9.000800E-5	NaN	4.075000E+2	4.075000E+2
1.203334E+3	9.008500E-5	NaN	4.075100E+2	4.075100E+2
1.219270E+3	9.014600E-5	NaN	4.075100E+2	4.075100E+2
1.235105E+3	9.017700E-5	NaN	4.075000E+2	4.075000E+2
1.251269E+3	9.020600E-5	NaN	4.075000E+2	4.075000E+2
1.267239E+3	9.028900E-5	NaN	4.075000E+2	4.075000E+2
1.283203E+3	9.035300E-5	NaN	4.075100E+2	4.075100E+2
1.299186E+3	9.040300E-5	NaN	4.074900E+2	4.074900E+2
1.315152E+3	9.045500E-5	NaN	4.075000E+2	4.075000E+2
1.331118E+3	9.053200E-5	NaN	4.075000E+2	4.075000E+2
1.347455E+3	9.058600E-5	NaN	4.075000E+2	4.075000E+2
1.363401E+3	9.064200E-5	NaN	4.075000E+2	4.075000E+2
1.379513E+3	9.069800E-5	NaN	4.075100E+2	4.075100E+2
1.396254E+3	9.074000E-5	NaN	4.075000E+2	4.075000E+2
1.412091E+3	9.078800E-5	NaN	4.075100E+2	4.075100E+2
1.427950E+3	9.082500E-5	NaN	4.074900E+2	4.074900E+2
1.443963E+3	9.087000E-5	NaN	4.074900E+2	4.074900E+2
1.460161E+3	9.096000E-5	NaN	4.075000E+2	4.075000E+2
1.476100E+3	9.103200E-5	NaN	4.075100E+2	4.075100E+2
1.492025E+3	9.107500E-5	NaN	4.075100E+2	4.075100E+2
1.507931E+3	9.110300E-5	NaN	4.075000E+2	4.075000E+2
1.523866E+3	9.113200E-5	NaN	4.074900E+2	4.074900E+2
1.539804E+3	9.120600E-5	NaN	4.074800E+2	4.074800E+2
1.555795E+3	9.128800E-5	NaN	4.075000E+2	4.075000E+2
1.571563E+3	9.133900E-5	NaN	4.075200E+2	4.075200E+2
1.587342E+3	9.136500E-5	NaN	4.075100E+2	4.075100E+2
1.603252E+3	9.139300E-5	NaN	4.075000E+2	4.075000E+2
1.619725E+3	9.144600E-5	NaN	4.074900E+2	4.074900E+2
1.636062E+3	9.150500E-5	NaN	4.075000E+2	4.075000E+2
1.652024E+3	9.157300E-5	NaN	4.074900E+2	4.074900E+2
1.667987E+3	9.164000E-5	NaN	4.075000E+2	4.075000E+2
1.684030E+3	9.170500E-5	NaN	4.075100E+2	4.075100E+2
1.699974E+3	9.174300E-5	NaN	4.075100E+2	4.075100E+2
1.715878E+3	9.177100E-5	NaN	4.074900E+2	4.074900E+2
