4/1/2024
4:12 PM
relaxation time temp = 410K again because 405 was being wierd around 410 part 2_2024.04.01_IR_FILE END.txt

Data taken by: Akshat
Ammeter is Keithley 6517A at GPIB0::27::INSTR
Voltage Source is Keithley 6517A at GPIB0::27::INSTR
Temperature Controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Signal Instr: Keithley 6517A
Signal VISA: GPIB0::27::INSTR
Voltage Instr: Keithley 6517A
Voltage VISA: GPIB0::27::INSTR
Temp Sensor Instr: Lake Shore 330
Temp Sensor VISA: GPIB0::12::INSTR
Voltage (V): 100
Shut off V when done?: FALSE
Readings: 1
Loop: 1
DESCRIPTION
********************
Time (s)	Current (A)	Current Std Dev	Control Temperature (K)	Sample Temperature (K)	
1.003000E+0	1.086850E-4	NaN	4.100100E+2	4.100100E+2
1.077700E+1	1.086630E-4	NaN	4.099900E+2	4.099900E+2
2.734800E+1	1.086620E-4	NaN	4.099800E+2	4.099800E+2
4.391600E+1	1.087100E-4	NaN	4.099900E+2	4.099900E+2
5.987700E+1	1.087200E-4	NaN	4.100000E+2	4.100000E+2
7.596700E+1	1.087400E-4	NaN	4.100100E+2	4.100100E+2
9.195800E+1	1.087470E-4	NaN	4.100100E+2	4.100100E+2
1.079020E+2	1.087400E-4	NaN	4.100000E+2	4.100000E+2
1.243940E+2	1.087150E-4	NaN	4.100000E+2	4.100000E+2
1.402150E+2	1.087020E-4	NaN	4.100000E+2	4.100000E+2
1.563560E+2	1.087190E-4	NaN	4.100000E+2	4.100000E+2
1.777120E+2	1.087190E-4	NaN	4.100000E+2	4.100000E+2
1.944940E+2	1.087000E-4	NaN	4.099900E+2	4.099900E+2
2.105650E+2	1.086920E-4	NaN	4.100100E+2	4.100100E+2
2.270410E+2	1.087140E-4	NaN	4.100000E+2	4.100000E+2
2.447900E+2	1.086800E-4	NaN	4.100000E+2	4.100000E+2
2.610340E+2	1.086860E-4	NaN	4.100000E+2	4.100000E+2
2.771280E+2	1.086800E-4	NaN	4.100000E+2	4.100000E+2
2.932250E+2	1.086730E-4	NaN	4.099900E+2	4.099900E+2
3.107380E+2	1.087040E-4	NaN	4.100200E+2	4.100200E+2
3.268390E+2	1.086730E-4	NaN	4.100000E+2	4.100000E+2
3.429910E+2	1.086530E-4	NaN	4.100000E+2	4.100000E+2
3.590710E+2	1.086560E-4	NaN	4.100000E+2	4.100000E+2
3.764260E+2	1.086490E-4	NaN	4.099900E+2	4.099900E+2
3.935600E+2	1.086570E-4	NaN	4.100100E+2	4.100100E+2
4.094500E+2	1.086260E-4	NaN	4.100100E+2	4.100100E+2
4.256680E+2	1.086510E-4	NaN	4.099900E+2	4.099900E+2
4.416230E+2	1.086690E-4	NaN	4.100000E+2	4.100000E+2
4.585580E+2	1.086930E-4	NaN	4.099900E+2	4.099900E+2
4.753970E+2	1.086940E-4	NaN	4.100100E+2	4.100100E+2
4.913680E+2	1.086850E-4	NaN	4.100300E+2	4.100300E+2
5.073620E+2	1.086010E-4	NaN	4.100100E+2	4.100100E+2
5.238320E+2	1.085550E-4	NaN	4.099900E+2	4.099900E+2
5.403520E+2	1.085560E-4	NaN	4.100000E+2	4.100000E+2
5.567310E+2	1.085760E-4	NaN	4.100000E+2	4.100000E+2
5.734800E+2	1.086140E-4	NaN	4.099900E+2	4.099900E+2
5.891890E+2	1.086200E-4	NaN	4.100200E+2	4.100200E+2
6.050750E+2	1.085850E-4	NaN	4.100100E+2	4.100100E+2
6.209990E+2	1.085650E-4	NaN	4.099900E+2	4.099900E+2
6.372800E+2	1.085550E-4	NaN	4.100000E+2	4.100000E+2
6.533170E+2	1.085810E-4	NaN	4.100100E+2	4.100100E+2
6.694500E+2	1.085460E-4	NaN	4.099800E+2	4.099800E+2
6.856540E+2	1.085660E-4	NaN	4.100000E+2	4.100000E+2
7.022810E+2	1.086010E-4	NaN	4.100000E+2	4.100000E+2
7.191640E+2	1.085910E-4	NaN	4.100100E+2	4.100100E+2
7.357670E+2	1.085810E-4	NaN	4.100000E+2	4.100000E+2
7.524840E+2	1.085990E-4	NaN	4.100100E+2	4.100100E+2
7.705960E+2	1.085970E-4	NaN	4.100100E+2	4.100100E+2
7.922660E+2	1.085760E-4	NaN	4.099900E+2	4.099900E+2
8.103370E+2	1.085950E-4	NaN	4.099900E+2	4.099900E+2
8.281560E+2	1.086110E-4	NaN	4.100000E+2	4.100000E+2
8.448500E+2	1.086230E-4	NaN	4.100000E+2	4.100000E+2
8.611550E+2	1.086180E-4	NaN	4.100000E+2	4.100000E+2
8.771880E+2	1.086340E-4	NaN	4.100000E+2	4.100000E+2
8.935410E+2	1.086510E-4	NaN	4.100000E+2	4.100000E+2
9.096230E+2	1.086440E-4	NaN	4.100100E+2	4.100100E+2
9.260650E+2	1.086070E-4	NaN	4.100000E+2	4.100000E+2
9.420170E+2	1.085820E-4	NaN	4.100200E+2	4.100200E+2
9.584860E+2	1.085430E-4	NaN	4.099900E+2	4.099900E+2
9.745300E+2	1.085570E-4	NaN	4.100000E+2	4.100000E+2
9.905450E+2	1.085720E-4	NaN	4.100000E+2	4.100000E+2
1.006753E+3	1.085910E-4	NaN	4.099900E+2	4.099900E+2
1.022656E+3	1.086090E-4	NaN	4.100100E+2	4.100100E+2
1.038733E+3	1.085810E-4	NaN	4.100100E+2	4.100100E+2
1.055065E+3	1.085720E-4	NaN	4.099900E+2	4.099900E+2
1.070946E+3	1.085810E-4	NaN	4.099900E+2	4.099900E+2
1.087151E+3	1.086140E-4	NaN	4.100000E+2	4.100000E+2
1.104279E+3	1.086310E-4	NaN	4.100000E+2	4.100000E+2
1.120403E+3	1.086630E-4	NaN	4.100100E+2	4.100100E+2
1.136357E+3	1.086520E-4	NaN	4.099900E+2	4.099900E+2
1.153062E+3	1.086640E-4	NaN	4.100000E+2	4.100000E+2
1.169115E+3	1.086670E-4	NaN	4.100100E+2	4.100100E+2
1.186387E+3	1.086510E-4	NaN	4.100000E+2	4.100000E+2
1.202971E+3	1.086440E-4	NaN	4.100100E+2	4.100100E+2
1.219085E+3	1.086150E-4	NaN	4.099900E+2	4.099900E+2
1.235333E+3	1.086110E-4	NaN	4.099900E+2	4.099900E+2
1.251481E+3	1.086320E-4	NaN	4.100000E+2	4.100000E+2
1.268730E+3	1.086410E-4	NaN	4.100000E+2	4.100000E+2
1.284746E+3	1.086400E-4	NaN	4.099900E+2	4.099900E+2
1.300606E+3	1.086490E-4	NaN	4.100100E+2	4.100100E+2
1.317114E+3	1.086440E-4	NaN	4.100100E+2	4.100100E+2
1.333481E+3	1.086280E-4	NaN	4.099900E+2	4.099900E+2
1.349522E+3	1.086540E-4	NaN	4.099800E+2	4.099800E+2
1.365572E+3	1.086960E-4	NaN	4.100100E+2	4.100100E+2
1.381732E+3	1.086990E-4	NaN	4.100100E+2	4.100100E+2
1.397811E+3	1.086630E-4	NaN	4.100100E+2	4.100100E+2
1.414274E+3	1.086540E-4	NaN	4.100100E+2	4.100100E+2
1.431762E+3	1.086500E-4	NaN	4.100000E+2	4.100000E+2
1.447763E+3	1.086610E-4	NaN	4.100100E+2	4.100100E+2
1.464019E+3	1.086620E-4	NaN	4.100000E+2	4.100000E+2
1.480566E+3	1.086310E-4	NaN	4.100000E+2	4.100000E+2
1.497330E+3	1.086400E-4	NaN	4.100000E+2	4.100000E+2
1.513363E+3	1.086440E-4	NaN	4.100100E+2	4.100100E+2
1.529459E+3	1.086260E-4	NaN	4.100000E+2	4.100000E+2
1.545775E+3	1.086210E-4	NaN	4.099900E+2	4.099900E+2
1.562133E+3	1.086170E-4	NaN	4.100100E+2	4.100100E+2
1.578332E+3	1.086160E-4	NaN	4.099900E+2	4.099900E+2
1.594579E+3	1.086140E-4	NaN	4.100100E+2	4.100100E+2
