3/28/2024
2:25 PM
relaxation time temp = 410K again because 405 was being wierd around 410_2024.03.28_IR_FILE END.txt

Data taken by: Akshat
Ammeter is Keithley 6517A at GPIB0::27::INSTR
Voltage Source is Keithley 6517A at GPIB0::27::INSTR
Temperature Controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Signal Instr: Keithley 6517A
Signal VISA: GPIB0::27::INSTR
Voltage Instr: Keithley 6517A
Voltage VISA: GPIB0::27::INSTR
Temp Sensor Instr: Lake Shore 330
Temp Sensor VISA: GPIB0::12::INSTR
Voltage (V): 100
Shut off V when done?: FALSE
Readings: 1
Loop: 1
DESCRIPTION
********************
Time (s)	Current (A)	Current Std Dev	Control Temperature (K)	Sample Temperature (K)	
1.003000E+0	9.561500E-5	NaN	4.100100E+2	4.100100E+2
1.547500E+1	9.563900E-5	NaN	4.100200E+2	4.100200E+2
3.154800E+1	9.566500E-5	NaN	4.100100E+2	4.100100E+2
4.800700E+1	9.572000E-5	NaN	4.100200E+2	4.100200E+2
6.408300E+1	9.574900E-5	NaN	4.100300E+2	4.100300E+2
8.004100E+1	9.571300E-5	NaN	4.100200E+2	4.100200E+2
9.624000E+1	9.569900E-5	NaN	4.100000E+2	4.100000E+2
1.122460E+2	9.572700E-5	NaN	4.100100E+2	4.100100E+2
1.285030E+2	9.578300E-5	NaN	4.100100E+2	4.100100E+2
1.445520E+2	9.578000E-5	NaN	4.100100E+2	4.100100E+2
1.604910E+2	9.580900E-5	NaN	4.100000E+2	4.100000E+2
1.762850E+2	9.585700E-5	NaN	4.100100E+2	4.100100E+2
1.923760E+2	9.576600E-5	NaN	4.100100E+2	4.100100E+2
2.083260E+2	9.554500E-5	NaN	4.100200E+2	4.100200E+2
2.244220E+2	9.553200E-5	NaN	4.100000E+2	4.100000E+2
2.402110E+2	9.552800E-5	NaN	4.100000E+2	4.100000E+2
2.561780E+2	9.554400E-5	NaN	4.100000E+2	4.100000E+2
2.723580E+2	9.559300E-5	NaN	4.100000E+2	4.100000E+2
2.885790E+2	9.561900E-5	NaN	4.100100E+2	4.100100E+2
3.054090E+2	9.566400E-5	NaN	4.100200E+2	4.100200E+2
3.213890E+2	9.567000E-5	NaN	4.100100E+2	4.100100E+2
3.374850E+2	9.569200E-5	NaN	4.099900E+2	4.099900E+2
3.537210E+2	9.576100E-5	NaN	4.100200E+2	4.100200E+2
3.709830E+2	9.578700E-5	NaN	4.100200E+2	4.100200E+2
3.871460E+2	9.577500E-5	NaN	4.100000E+2	4.100000E+2
4.032950E+2	9.580500E-5	NaN	4.100200E+2	4.100200E+2
4.192570E+2	9.581700E-5	NaN	4.099900E+2	4.099900E+2
4.353310E+2	9.584500E-5	NaN	4.100000E+2	4.100000E+2
4.516090E+2	9.587000E-5	NaN	4.100100E+2	4.100100E+2
4.681440E+2	9.590600E-5	NaN	4.099900E+2	4.099900E+2
4.854670E+2	9.597300E-5	NaN	4.100000E+2	4.100000E+2
5.014950E+2	9.599600E-5	NaN	4.100000E+2	4.100000E+2
5.178470E+2	9.603200E-5	NaN	4.100000E+2	4.100000E+2
5.338010E+2	9.606800E-5	NaN	4.099900E+2	4.099900E+2
5.499160E+2	9.611000E-5	NaN	4.099900E+2	4.099900E+2
5.661930E+2	9.616600E-5	NaN	4.100100E+2	4.100100E+2
5.825370E+2	9.619500E-5	NaN	4.099900E+2	4.099900E+2
5.988540E+2	9.623600E-5	NaN	4.099900E+2	4.099900E+2
6.151950E+2	9.629400E-5	NaN	4.100000E+2	4.100000E+2
6.309210E+2	9.632600E-5	NaN	4.100300E+2	4.100300E+2
6.469010E+2	9.630100E-5	NaN	4.100100E+2	4.100100E+2
6.628330E+2	9.630000E-5	NaN	4.100000E+2	4.100000E+2
6.791390E+2	9.631500E-5	NaN	4.099900E+2	4.099900E+2
6.951980E+2	9.637700E-5	NaN	4.099900E+2	4.099900E+2
7.116770E+2	9.643600E-5	NaN	4.099900E+2	4.099900E+2
7.277710E+2	9.651300E-5	NaN	4.099900E+2	4.099900E+2
