11/10/2023
6:17 PM
relaxation time temp 430_2023.11.10_IR_FILE END.txt

Data taken by: YOUR NAME
Ammeter is Keithley 6517A at GPIB0::27::INSTR
Voltage Source is Keithley 6517A at GPIB0::27::INSTR
Temperature Controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Signal Instr: Keithley 6517A
Signal VISA: GPIB0::27::INSTR
Voltage Instr: Keithley 6517A
Voltage VISA: GPIB0::27::INSTR
Temp Sensor Instr: Lake Shore 330
Temp Sensor VISA: GPIB0::12::INSTR
Voltage (V): 100
Shut off V when done?: TRUE
Readings: 1
Loop: 1
DESCRIPTION
********************
Time (s)	Current (A)	Current Std Dev	Control Temperature (K)	Sample Temperature (K)	
1.003000E+0	2.447000E-7	NaN	2.957000E+2	2.957000E+2
2.827000E+0	2.447900E-7	NaN	2.957000E+2	2.957000E+2
4.725000E+0	2.451400E-7	NaN	2.957400E+2	2.957400E+2
6.611000E+0	2.461600E-7	NaN	2.958300E+2	2.958300E+2
8.461000E+0	2.479500E-7	NaN	2.960000E+2	2.960000E+2
1.080400E+1	2.516400E-7	NaN	2.963200E+2	2.963200E+2
1.308300E+1	2.562900E-7	NaN	2.967800E+2	2.967800E+2
1.565100E+1	2.634800E-7	NaN	2.974000E+2	2.974000E+2
1.807400E+1	2.715700E-7	NaN	2.980700E+2	2.980700E+2
2.012100E+1	2.795400E-7	NaN	2.986800E+2	2.986800E+2
2.232400E+1	2.894800E-7	NaN	2.993900E+2	2.993900E+2
2.448300E+1	3.002200E-7	NaN	3.001600E+2	3.001600E+2
2.626800E+1	3.099100E-7	NaN	3.008100E+2	3.008100E+2
2.808700E+1	3.208500E-7	NaN	3.014800E+2	3.014800E+2
2.990500E+1	3.327900E-7	NaN	3.021800E+2	3.021800E+2
3.180500E+1	3.460500E-7	NaN	3.029000E+2	3.029000E+2
3.374600E+1	3.609200E-7	NaN	3.037200E+2	3.037200E+2
3.556500E+1	3.753200E-7	NaN	3.044700E+2	3.044700E+2
3.742300E+1	3.918600E-7	NaN	3.052300E+2	3.052300E+2
3.927000E+1	4.086900E-7	NaN	3.061000E+2	3.061000E+2
4.123600E+1	4.282900E-7	NaN	3.068800E+2	3.068800E+2
4.306900E+1	4.477600E-7	NaN	3.077800E+2	3.077800E+2
