9/3/2023
11:47 AM
time relaxation 440_2023.09.03_IR_FILE END.txt

Data taken by: YOUR NAME
Ammeter is Keithley 6517A at GPIB0::27::INSTR
Voltage Source is Keithley 6517A at GPIB0::27::INSTR
Temperature Controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Signal Instr: Keithley 6517A
Signal VISA: GPIB0::27::INSTR
Voltage Instr: Keithley 6517A
Voltage VISA: GPIB0::27::INSTR
Temp Sensor Instr: Lake Shore 330
Temp Sensor VISA: GPIB0::12::INSTR
Voltage (V): 100
Shut off V when done?: TRUE
Readings: 10
Loop: 1
DESCRIPTION
********************
Time (s)	Current (A)	Current Std Dev	Control Temperature (K)	Sample Temperature (K)	
1.006000E+0	2.275920E-7	4.540387E-10	2.984000E+2	2.984000E+2
2.647000E+0	2.294670E-7	4.811572E-10	2.985900E+2	2.985900E+2
4.252000E+0	2.312420E-7	5.261981E-10	2.987800E+2	2.987800E+2
5.805000E+0	2.332290E-7	5.691407E-10	2.989500E+2	2.989500E+2
7.346000E+0	2.357400E-7	8.668590E-10	2.991600E+2	2.991600E+2
9.334000E+0	2.381000E-7	5.726740E-10	2.994400E+2	2.994400E+2
1.073900E+1	2.404840E-7	7.002254E-10	2.996400E+2	2.996400E+2
1.230400E+1	2.429550E-7	6.785155E-10	2.998800E+2	2.998800E+2
1.378000E+1	2.453940E-7	7.067170E-10	3.001100E+2	3.001100E+2
1.554300E+1	2.488330E-7	7.413958E-10	3.004000E+2	3.004000E+2
1.704500E+1	2.517800E-7	9.162726E-10	3.006700E+2	3.006700E+2
1.867700E+1	2.550690E-7	9.085819E-10	3.009500E+2	3.009500E+2
2.024100E+1	2.587220E-7	1.367104E-9	3.012100E+2	3.012100E+2
2.227900E+1	2.630870E-7	9.693302E-10	3.016200E+2	3.016200E+2
2.388000E+1	2.669540E-7	1.074866E-9	3.019200E+2	3.019200E+2
2.555300E+1	2.708960E-7	1.412556E-9	3.022300E+2	3.022300E+2
2.748700E+1	2.757850E-7	1.065200E-9	3.026400E+2	3.026400E+2
2.900900E+1	2.799050E-7	1.137534E-9	3.029200E+2	3.029200E+2
3.056800E+1	2.849040E-7	1.993334E-9	3.032500E+2	3.032500E+2
3.272900E+1	2.900370E-7	1.087464E-9	3.037100E+2	3.037100E+2
3.410600E+1	2.956240E-7	1.936315E-9	3.040100E+2	3.040100E+2
3.628900E+1	3.012690E-7	1.383566E-9	3.044800E+2	3.044800E+2
3.790300E+1	3.062470E-7	1.236887E-9	3.048300E+2	3.048300E+2
3.950800E+1	3.129620E-7	2.184296E-9	3.051700E+2	3.051700E+2
4.174100E+1	3.189330E-7	1.252332E-9	3.056500E+2	3.056500E+2
4.321700E+1	3.244240E-7	1.489356E-9	3.059600E+2	3.059600E+2
4.519800E+1	3.323070E-7	1.723330E-9	3.064000E+2	3.064000E+2
4.712900E+1	3.380050E-7	1.417896E-9	3.068500E+2	3.068500E+2
4.866300E+1	3.455400E-7	2.389175E-9	3.071500E+2	3.071500E+2
5.084800E+1	3.525490E-7	1.578012E-9	3.076400E+2	3.076400E+2
5.243600E+1	3.588260E-7	1.681376E-9	3.079900E+2	3.079900E+2
5.405900E+1	3.667910E-7	2.749959E-9	3.083400E+2	3.083400E+2
5.638500E+1	3.744230E-7	1.881430E-9	3.088700E+2	3.088700E+2
5.801800E+1	3.816890E-7	2.440344E-9	3.092200E+2	3.092200E+2
5.999000E+1	3.898410E-7	1.712000E-9	3.096500E+2	3.096500E+2
6.168800E+1	3.976950E-7	3.053301E-9	3.100400E+2	3.100400E+2
6.384700E+1	4.060370E-7	1.863307E-9	3.104600E+2	3.104600E+2
6.536100E+1	4.133210E-7	2.016898E-9	3.108000E+2	3.108000E+2
6.702700E+1	4.206860E-7	2.694877E-9	3.111300E+2	3.111300E+2
6.906700E+1	4.297180E-7	1.849185E-9	3.115500E+2	3.115500E+2
7.063800E+1	4.366280E-7	1.884880E-9	3.118900E+2	3.118900E+2
7.214900E+1	4.455390E-7	3.396015E-9	3.122200E+2	3.122200E+2
7.478400E+1	4.556670E-7	2.023957E-9	3.127500E+2	3.127500E+2
7.637700E+1	4.648530E-7	3.285859E-9	3.130700E+2	3.130700E+2
7.848000E+1	4.733010E-7	1.942710E-9	3.134800E+2	3.134800E+2
7.994700E+1	4.809190E-7	2.210839E-9	3.138000E+2	3.138000E+2
8.151000E+1	4.908280E-7	3.179901E-9	3.141200E+2	3.141200E+2
8.370800E+1	4.992910E-7	1.906244E-9	3.145600E+2	3.145600E+2
8.508300E+1	5.061920E-7	1.815971E-9	3.148000E+2	3.148000E+2
8.645000E+1	5.153750E-7	3.025430E-9	3.150800E+2	3.150800E+2
8.850000E+1	5.245410E-7	2.124432E-9	3.154700E+2	3.154700E+2
9.009000E+1	5.328320E-7	2.072362E-9	3.157800E+2	3.157800E+2
9.155400E+1	5.416990E-7	3.201605E-9	3.161000E+2	3.161000E+2
9.351600E+1	5.510020E-7	2.097500E-9	3.164800E+2	3.164800E+2
9.529500E+1	5.609140E-7	2.192123E-9	3.168000E+2	3.168000E+2
9.678400E+1	5.693570E-7	2.357739E-9	3.171100E+2	3.171100E+2
9.850300E+1	5.794880E-7	2.495684E-9	3.174100E+2	3.174100E+2
