8/29/2023
2:38 PM
time relax 460_2023.08.29_IR_FILE END.txt

Data taken by: YOUR NAME
Ammeter is Keithley 6517A at GPIB0::27::INSTR
Voltage Source is Keithley 6517A at GPIB0::27::INSTR
Temperature Controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Signal Instr: Keithley 6517A
Signal VISA: GPIB0::27::INSTR
Voltage Instr: Keithley 6517A
Voltage VISA: GPIB0::27::INSTR
Temp Sensor Instr: Lake Shore 330
Temp Sensor VISA: GPIB0::12::INSTR
Voltage (V): 100
Shut off V when done?: TRUE
Readings: 10
Loop: 1
DESCRIPTION
********************
Time (s)	Current (A)	Current Std Dev	Control Temperature (K)	Sample Temperature (K)	
1.005000E+0	1.453592E-4	1.755599E-7	4.600000E+2	4.600000E+2
2.604000E+0	1.458373E-4	6.782830E-8	4.600000E+2	4.600000E+2
4.060000E+0	1.460901E-4	5.608020E-8	4.600000E+2	4.600000E+2
5.509000E+0	1.462696E-4	4.341838E-8	4.600000E+2	4.600000E+2
6.902000E+0	1.464693E-4	3.493820E-8	4.600000E+2	4.600000E+2
8.325000E+0	1.465834E-4	2.915552E-8	4.600000E+2	4.600000E+2
9.793000E+0	1.466461E-4	1.210555E-8	4.600000E+2	4.600000E+2
1.117900E+1	1.466903E-4	1.526106E-8	4.600000E+2	4.600000E+2
1.259900E+1	1.467364E-4	1.013465E-8	4.600000E+2	4.600000E+2
1.416600E+1	1.467813E-4	2.489556E-8	4.600000E+2	4.600000E+2
1.567900E+1	1.468456E-4	7.919035E-9	4.600000E+2	4.600000E+2
1.718400E+1	1.469031E-4	1.312716E-8	4.600000E+2	4.600000E+2
1.874600E+1	1.469365E-4	1.235808E-8	4.600000E+2	4.600000E+2
2.028600E+1	1.469644E-4	5.125102E-9	4.600000E+2	4.600000E+2
2.171300E+1	1.469881E-4	4.817791E-9	4.600000E+2	4.600000E+2
2.333300E+1	1.470149E-4	5.566766E-9	4.600000E+2	4.600000E+2
