9/2/2023
12:52 PM
time relaxation 480 part 3_2023.09.02_IR_FILE END.txt

Data taken by: YOUR NAME
Ammeter is Keithley 6517A at GPIB0::27::INSTR
Voltage Source is Keithley 6517A at GPIB0::27::INSTR
Temperature Controller is Lake Shore 330 at GPIB0::12::INSTR with the settings: control sensor=A;sample sensor=;loop=1
Signal Instr: Keithley 6517A
Signal VISA: GPIB0::27::INSTR
Voltage Instr: Keithley 6517A
Voltage VISA: GPIB0::27::INSTR
Temp Sensor Instr: Lake Shore 330
Temp Sensor VISA: GPIB0::12::INSTR
Voltage (V): 100
Shut off V when done?: TRUE
Readings: 10
Loop: 1
DESCRIPTION
********************
Time (s)	Current (A)	Current Std Dev	Control Temperature (K)	Sample Temperature (K)	
1.006000E+0	2.013570E-4	6.497863E-9	4.807900E+2	4.807900E+2
2.923000E+0	2.013250E-4	7.023769E-9	4.807700E+2	4.807700E+2
4.357000E+0	2.012831E-4	8.319322E-9	4.807700E+2	4.807700E+2
5.696000E+0	2.012479E-4	1.977906E-8	4.807600E+2	4.807600E+2
7.060000E+0	2.012157E-4	6.961002E-9	4.807500E+2	4.807500E+2
8.424000E+0	2.011589E-4	1.169473E-8	4.807500E+2	4.807500E+2
9.785000E+0	2.011413E-4	1.218423E-8	4.807400E+2	4.807400E+2
1.117300E+1	2.010954E-4	9.453982E-9	4.807400E+2	4.807400E+2
1.254900E+1	2.010869E-4	2.183270E-9	4.807300E+2	4.807300E+2
1.392900E+1	2.010697E-4	1.049921E-8	4.807300E+2	4.807300E+2
1.532500E+1	2.010342E-4	2.658320E-9	4.807200E+2	4.807200E+2
1.677900E+1	2.010166E-4	8.099383E-9	4.807200E+2	4.807200E+2
1.823800E+1	2.009509E-4	1.323673E-8	4.807100E+2	4.807100E+2
1.964700E+1	2.009432E-4	1.932184E-9	4.807100E+2	4.807100E+2
2.107600E+1	2.009157E-4	4.715224E-9	4.807000E+2	4.807000E+2
2.247200E+1	2.008860E-4	1.625491E-8	4.806900E+2	4.806900E+2
2.392100E+1	2.008137E-4	3.422166E-8	4.806900E+2	4.806900E+2
2.528100E+1	2.007816E-4	7.501111E-9	4.806800E+2	4.806800E+2
2.668600E+1	2.007755E-4	1.053302E-8	4.806800E+2	4.806800E+2
2.806100E+1	2.006965E-4	4.018084E-8	4.806700E+2	4.806700E+2
2.947100E+1	2.006108E-4	1.533913E-8	4.806700E+2	4.806700E+2
3.086500E+1	2.006103E-4	6.464433E-9	4.806600E+2	4.806600E+2
3.241000E+1	2.005709E-4	7.233410E-9	4.806500E+2	4.806500E+2
3.389400E+1	2.005545E-4	3.254484E-8	4.806500E+2	4.806500E+2
3.528700E+1	2.006157E-4	3.888730E-9	4.806400E+2	4.806400E+2
3.663800E+1	2.006094E-4	1.130585E-8	4.806300E+2	4.806300E+2
3.813200E+1	2.005501E-4	1.615515E-8	4.806200E+2	4.806200E+2
3.951600E+1	2.004778E-4	1.396663E-8	4.806200E+2	4.806200E+2
4.104100E+1	2.004631E-4	5.363457E-9	4.806200E+2	4.806200E+2
4.253200E+1	2.004366E-4	1.208488E-8	4.806100E+2	4.806100E+2
4.388900E+1	2.004108E-4	5.940445E-9	4.806100E+2	4.806100E+2
4.550500E+1	2.003727E-4	4.321779E-9	4.806000E+2	4.806000E+2
4.700000E+1	2.003778E-4	8.854377E-9	4.806000E+2	4.806000E+2
4.857700E+1	2.003797E-4	7.958922E-9	4.805800E+2	4.805800E+2
5.003500E+1	2.003578E-4	7.627436E-9	4.805800E+2	4.805800E+2
5.158800E+1	2.003131E-4	8.799621E-9	4.805800E+2	4.805800E+2
5.301700E+1	2.003097E-4	2.750757E-9	4.805800E+2	4.805800E+2
5.450200E+1	2.003136E-4	1.115746E-8	4.805700E+2	4.805700E+2
5.593200E+1	2.002736E-4	8.846845E-9	4.805600E+2	4.805600E+2
5.740600E+1	2.002625E-4	2.368778E-9	4.805600E+2	4.805600E+2
5.876500E+1	2.002374E-4	8.694826E-9	4.805600E+2	4.805600E+2
6.026800E+1	2.002245E-4	5.739725E-9	4.805500E+2	4.805500E+2
6.165000E+1	2.002002E-4	8.310636E-9	4.805400E+2	4.805400E+2
6.342500E+1	2.001843E-4	6.832114E-9	4.805400E+2	4.805400E+2
6.485300E+1	2.001476E-4	1.779013E-8	4.805400E+2	4.805400E+2
6.626100E+1	2.001221E-4	1.558097E-8	4.805300E+2	4.805300E+2
6.758500E+1	2.001182E-4	5.181162E-9	4.805200E+2	4.805200E+2
6.899400E+1	2.001145E-4	3.836955E-9	4.805200E+2	4.805200E+2
7.040500E+1	2.001217E-4	2.790858E-9	4.805200E+2	4.805200E+2
7.180100E+1	2.000777E-4	1.266711E-8	4.805100E+2	4.805100E+2
7.321200E+1	2.000674E-4	1.309113E-8	4.805100E+2	4.805100E+2
7.458300E+1	2.000734E-4	4.141927E-9	4.805000E+2	4.805000E+2
7.597100E+1	2.000373E-4	9.165758E-9	4.805000E+2	4.805000E+2
7.734300E+1	2.000033E-4	6.412661E-9	4.804900E+2	4.804900E+2
7.875000E+1	1.999932E-4	2.485514E-9	4.804800E+2	4.804800E+2
8.021100E+1	1.999860E-4	2.624669E-9	4.804800E+2	4.804800E+2
8.158200E+1	1.999844E-4	3.438346E-9	4.804700E+2	4.804700E+2
8.294100E+1	1.999837E-4	3.802046E-9	4.804700E+2	4.804700E+2
8.434900E+1	2.000063E-4	4.785394E-9	4.804700E+2	4.804700E+2
8.572200E+1	1.999654E-4	1.115746E-8	4.804600E+2	4.804600E+2
8.705600E+1	1.999461E-4	4.863698E-9	4.804500E+2	4.804500E+2
8.855000E+1	1.999266E-4	6.899275E-9	4.804500E+2	4.804500E+2
8.991900E+1	1.999084E-4	1.577621E-9	4.804500E+2	4.804500E+2
9.129500E+1	1.998940E-4	7.423686E-9	4.804500E+2	4.804500E+2
